stage,stage_name,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward
1,ODOR1,3,47.0,-1,-1,-1,-1,1,0,0,1,3.0,1.0
1,ODOR1,3,48.0,-1,-1,0,1,1,0,-1,-1,2.0,0.0
1,ODOR1,3,49.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,50.0,0,1,-1,-1,1,0,-1,-1,1.0,0.0
1,ODOR1,3,51.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
1,ODOR1,3,52.0,1,0,0,1,-1,-1,-1,-1,2.0,0.0
1,ODOR1,3,53.0,1,0,0,1,-1,-1,-1,-1,2.0,0.0
1,ODOR1,3,54.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,3,55.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,56.0,-1,-1,0,1,1,0,-1,-1,2.0,0.0
1,ODOR1,3,57.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
1,ODOR1,3,58.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
1,ODOR1,3,59.0,-1,-1,1,1,-1,-1,0,0,,
1,ODOR1,3,60.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
1,ODOR1,3,61.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
1,ODOR1,3,62.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
1,ODOR1,3,63.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
1,ODOR1,3,64.0,-1,-1,0,1,1,0,-1,-1,2.0,0.0
1,ODOR1,3,65.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,66.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
1,ODOR1,3,67.0,-1,-1,1,0,-1,-1,0,1,,
1,ODOR1,3,68.0,1,1,0,0,-1,-1,-1,-1,2.0,0.0
1,ODOR1,3,69.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,3,70.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
1,ODOR1,3,71.0,0,1,-1,-1,1,0,-1,-1,3.0,1.0
1,ODOR1,3,72.0,0,1,1,0,-1,-1,-1,-1,2.0,1.0
1,ODOR1,3,73.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
1,ODOR1,3,74.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
1,ODOR1,3,75.0,-1,-1,-1,-1,1,1,0,0,,
1,ODOR1,3,76.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,3,77.0,-1,-1,-1,-1,0,0,1,1,4.0,1.0
1,ODOR1,3,78.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
1,ODOR1,3,79.0,-1,-1,1,1,0,0,-1,-1,2.0,1.0
1,ODOR1,3,80.0,-1,-1,-1,-1,1,0,0,1,,
1,ODOR1,3,81.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
1,ODOR1,3,82.0,-1,-1,0,1,1,0,-1,-1,2.0,0.0
1,ODOR1,3,83.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
1,ODOR1,3,84.0,0,1,1,0,-1,-1,-1,-1,,
1,ODOR1,3,85.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,3,86.0,-1,-1,0,1,-1,-1,1,0,2.0,0.0
1,ODOR1,3,87.0,-1,-1,0,1,1,0,-1,-1,2.0,0.0
1,ODOR1,3,88.0,-1,-1,-1,-1,0,0,1,1,,
1,ODOR1,3,89.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
1,ODOR1,3,90.0,1,0,0,1,-1,-1,-1,-1,,
1,ODOR1,3,91.0,-1,-1,-1,-1,1,0,0,1,3.0,1.0
