stage_name,stage,day in stage,trial,A1o,A1c,A2o,A2c,A3o,A3c,A4o,A4c,action,reward
ODOR2,2,1,83.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
ODOR2,2,1,84.0,-1,-1,0,1,-1,-1,1,0,2.0,0.0
ODOR2,2,1,85.0,-1,-1,-1,-1,0,1,1,0,4.0,1.0
ODOR2,2,1,86.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
ODOR2,2,1,87.0,-1,-1,0,1,-1,-1,1,0,4.0,1.0
ODOR2,2,1,88.0,-1,-1,-1,-1,0,1,1,0,4.0,1.0
ODOR2,2,1,89.0,-1,-1,1,0,-1,-1,0,1,2.0,1.0
ODOR2,2,1,90.0,0,0,-1,-1,1,1,-1,-1,3.0,1.0
ODOR2,2,1,91.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
ODOR2,2,1,92.0,-1,-1,0,0,1,1,-1,-1,3.0,1.0
ODOR2,2,1,93.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,94.0,-1,-1,-1,-1,1,1,0,0,4.0,0.0
ODOR2,2,1,95.0,1,0,-1,-1,0,1,-1,-1,1.0,1.0
ODOR2,2,1,96.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
ODOR2,2,1,97.0,0,0,1,1,-1,-1,-1,-1,2.0,1.0
ODOR2,2,1,98.0,0,1,-1,-1,1,0,-1,-1,3.0,1.0
ODOR2,2,1,99.0,-1,-1,1,0,0,1,-1,-1,2.0,1.0
ODOR2,2,1,100.0,-1,-1,0,1,1,0,-1,-1,3.0,1.0
ODOR2,2,2,1.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
ODOR2,2,2,2.0,-1,-1,0,1,1,0,-1,-1,,
ODOR2,2,2,3.0,-1,-1,1,1,0,0,-1,-1,,
ODOR2,2,2,4.0,-1,-1,1,0,0,1,-1,-1,,
ODOR2,2,2,5.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
ODOR2,2,2,6.0,-1,-1,-1,-1,1,0,0,1,,
ODOR2,2,2,7.0,-1,-1,-1,-1,1,1,0,0,,
ODOR2,2,2,8.0,-1,-1,-1,-1,0,0,1,1,,
ODOR2,2,2,9.0,-1,-1,-1,-1,0,0,1,1,,
ODOR2,2,2,10.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
ODOR2,2,2,11.0,1,0,0,1,-1,-1,-1,-1,,
ODOR2,2,2,12.0,1,0,-1,-1,0,1,-1,-1,,
ODOR2,2,2,13.0,1,1,-1,-1,0,0,-1,-1,,
ODOR2,2,2,14.0,0,1,-1,-1,1,0,-1,-1,,
ODOR2,2,2,15.0,0,1,-1,-1,1,0,-1,-1,,
ODOR2,2,2,16.0,-1,-1,0,0,1,1,-1,-1,,
ODOR2,2,2,17.0,-1,-1,1,1,-1,-1,0,0,,
ODOR2,2,2,18.0,-1,-1,1,0,-1,-1,0,1,,
ODOR2,2,2,19.0,0,0,1,1,-1,-1,-1,-1,,
ODOR2,2,2,20.0,-1,-1,0,0,-1,-1,1,1,4.0,1.0
ODOR2,2,2,21.0,0,1,1,0,-1,-1,-1,-1,1.0,0.0
ODOR2,2,2,22.0,-1,-1,1,1,0,0,-1,-1,,
ODOR2,2,2,23.0,1,1,-1,-1,0,0,-1,-1,1.0,1.0
ODOR2,2,2,24.0,-1,-1,0,1,-1,-1,1,0,4.0,1.0
ODOR2,2,2,25.0,1,0,0,1,-1,-1,-1,-1,1.0,1.0
ODOR2,2,2,26.0,-1,-1,1,0,0,1,-1,-1,,
ODOR2,2,2,27.0,1,1,0,0,-1,-1,-1,-1,1.0,1.0
ODOR2,2,2,28.0,-1,-1,-1,-1,1,1,0,0,,
ODOR2,2,2,29.0,-1,-1,1,1,-1,-1,0,0,2.0,1.0
ODOR2,2,2,30.0,-1,-1,1,1,-1,-1,0,0,,
